"","level1","level2","level3"
"1","ChAT_cholinergic_striatal_neurons","striatalNeuron","neuron"
"2","D1_striatal_neurons","striatalNeuron","neuron"
"3","Colgalt2_pyramidal_cortical_neurons","pyramidalNeuron","neuron"
"4","S100a10_pyramidal_cortical_neurons","pyramidalNeuron","neuron"
"5","astrocyte","astrocyte","astrocyte"
"6","neuron","neuron","neuron"
"7","oligodendrocyte_precursor","oligodendrocyte","oligodendrocyte"
"8","newly_formed_oligodendrocyte","oligodendrocyte","oligodendrocyte"
"9","myelinating_oligodendrocyte","oligodendrocyte","oligodendrocyte"
"10","microglia","microglia","microglia"
"11","endothelial","endothelial","endothelial"
"12","callosal_projection_neurons","pyramidalNeuron","neuron"
"13","subcerebral_projection_neurons","pyramidalNeuron","neuron"
"14","corticothalamic_projection_neurons","pyramidalNeuron","neuron"
